Episode,Score,Steps,Epsilon,GhostsEaten
217,120,81,0.9168445285821544,0
218,30,13,0.9164777907707216,0
219,80,37,0.9161111996544133,0
220,110,62,0.9157447551745517,0
221,70,27,0.9153784572724819,0
222,120,58,0.9150123058895729,0
223,60,21,0.9146463009672171,0
224,50,24,0.9142804424468303,0
225,80,38,0.9139147302698516,0
226,110,97,0.9135491643777437,0
227,80,22,0.9131837447119926,0
228,20,22,0.9128184712141079,0
229,50,14,0.9124533438256223,0
230,320,177,0.9120883624880921,0
231,120,28,0.9117235271430969,0
232,60,15,0.9113588377322397,0
233,140,102,0.9109942941971468,0
234,290,104,0.910629896479468,0
235,210,138,0.9102656445208762,0
236,80,67,0.9099015382630679,0
237,140,87,0.9095375776477627,0
238,320,168,0.9091737626167036,0
239,110,52,0.908810093111657,0
240,480,295,0.9084465690744123,0
241,50,15,0.9080831904467827,0
242,290,222,0.9077199571706039,0
243,80,17,0.9073568691877357,0
244,190,68,0.9069939264400607,0
245,40,10,0.9066311288694847,0
246,40,21,0.906268476417937,0
247,70,19,0.9059059690273699,0
248,240,161,0.905543606639759,0
249,120,162,0.9051813891971031,0
250,90,52,0.9048193166414243,0
251,130,86,0.9044573889147678,0
252,330,145,0.9040956059592019,0
253,290,153,0.9037339677168182,0
254,70,35,0.9033724741297315,0
255,70,32,0.9030111251400796,0
256,70,18,0.9026499206900237,0
257,290,216,0.9022888607217477,0
258,110,78,0.9019279451774591,0
259,90,40,0.9015671739993881,0
260,80,44,0.9012065471297884,0
261,240,123,0.9008460645109365,0
262,40,26,0.9004857260851322,0
263,60,17,0.9001255317946982,0
264,60,26,0.8997654815819804,0
265,120,52,0.8994055753893477,0
266,290,129,0.8990458131591921,0
267,60,31,0.8986861948339284,0
268,140,30,0.8983267203559949,0
269,210,74,0.8979673896678526,0
270,40,14,0.8976082027119855,0
271,120,62,0.8972491594309008,0
272,50,11,0.8968902597671284,0
273,60,12,0.8965315036632217,0
274,80,39,0.8961728910617563,0
275,60,19,0.8958144219053317,0
276,60,29,0.8954560961365696,0
277,60,20,0.8950979136981151,0
278,50,29,0.8947398745326359,0
279,60,30,0.8943819785828229,0
280,80,33,0.8940242257913897,0
281,60,22,0.8936666161010732,0
282,100,39,0.8933091494546328,0
283,110,77,0.892951825794851,0
284,90,71,0.8925946450645331,0
285,50,14,0.8922376072065074,0
286,90,86,0.8918807121636247,0
287,120,33,0.8915239598787593,0
288,30,6,0.8911673502948079,0
289,110,54,0.8908108833546899,0
290,110,75,0.8904545590013481,0
291,290,120,0.8900983771777475,0
292,100,52,0.8897423378268765,0
293,60,53,0.8893864408917458,0
294,40,13,0.8890306863153892,0
295,130,71,0.8886750740408631,0
296,40,14,0.8883196040112468,0
297,190,165,0.8879642761696424,0
298,40,13,0.8876090904591746,0
299,20,5,0.8872540468229909,0
300,310,185,0.8868991452042617,0
301,50,22,0.8865443855461801,0
302,410,263,0.8861897677919617,0
303,120,60,0.8858352918848449,0
304,50,22,0.885480957768091,0
305,50,20,0.8851267653849838,0
306,100,45,0.8847727146788299,0
307,380,180,0.8844188055929584,0
308,240,250,0.8840650380707212,0
309,90,39,0.883711412055493,0
310,170,58,0.8833579274906708,0
311,30,13,0.8830045843196745,0
312,70,48,0.8826513824859468,0
313,40,14,0.8822983219329524,0
314,260,227,0.8819454026041793,0
315,130,106,0.8815926244431377,0
316,210,138,0.8812399873933605,0
317,50,21,0.8808874913984032,0
318,370,264,0.8805351364018439,0
319,320,196,0.8801829223472832,0
320,150,37,0.8798308491783443,0
